,0,1,2,3,4,5,6,7,8,9,10
127,127.0,127.0,2.998,-0.419,8.677,0.042,-1.487,0.018,52.26,-44.52,-10.68
128,128.0,128.0,3.376,-0.589,8.366,0.083,-1.438,0.054,52.5,-44.7,-10.5
129,129.0,129.0,3.984,-1.259,7.978,0.073,-1.173,0.153,52.02,-45.42,-10.56
130,130.0,130.0,4.082,-0.634,7.741,0.149,-0.891,0.162,51.36,-45.54,-10.02
131,131.0,131.0,3.412,-0.201,8.55,0.207,-0.325,0.097,51.42,-45.24,-9.9
132,132.0,132.0,3.476,-0.235,9.594,0.203,-0.035,0.104,50.88,-45.42,-9.18
133,133.0,133.0,3.702,-0.409,8.72,0.206,0.052,0.265,50.22,-45.72,-9.06
134,134.0,134.0,4.382,-1.006,9.472,0.181,0.033,0.409,50.1,-45.18,-9.54
135,135.0,135.0,3.907,-0.824,9.752,0.163,0.119,0.459,49.86,-45.18,-9.12
136,136.0,136.0,3.831,-0.596,9.436,0.272,-0.065,0.373,50.58,-44.58,-9.24
137,137.0,137.0,4.2,-0.723,7.978,0.208,-0.329,0.366,50.28,-44.34,-9.42
138,138.0,138.0,4.616,-0.986,7.391,0.137,-0.556,0.372,50.1,-44.16,-8.76
139,139.0,139.0,4.008,-0.953,8.375,0.099,-0.23,0.342,50.64,-44.34,-9.66
140,140.0,140.0,4.293,-0.742,9.402,0.139,0.236,0.26,49.44,-45.12,-9.3
141,141.0,141.0,4.288,-0.716,9.108,0.196,0.421,0.255,49.08,-45.54,-8.52
142,142.0,142.0,4.13,-1.13,7.611,0.12,0.201,0.219,49.86,-45.24,-8.76
143,143.0,143.0,4.554,-0.893,9.127,-0.008,0.146,0.17,49.8,-44.76,-9.24
144,144.0,144.0,4.408,-0.793,10.034,0.102,0.554,0.092,50.16,-44.82,-9.12
145,145.0,145.0,4.247,-0.611,10.391,0.28,0.674,-0.015,50.04,-45.12,-9.0
146,146.0,146.0,4.202,-0.242,10.449,0.352,0.664,-0.061,49.26,-45.0,-9.66
147,147.0,147.0,4.568,-0.115,10.068,0.522,0.678,-0.056,48.9,-45.18,-9.78
148,148.0,148.0,4.791,0.125,9.855,0.796,0.746,-0.102,49.38,-45.3,-9.18
149,149.0,149.0,4.978,0.678,9.402,1.044,0.724,-0.34,49.98,-44.94,-9.12
150,150.0,150.0,4.645,0.874,8.651,1.055,0.737,-0.588,50.58,-44.82,-9.48
151,151.0,151.0,4.051,0.883,8.354,0.856,0.991,-0.792,51.36,-44.46,-9.42
152,152.0,152.0,3.328,0.819,8.662,0.479,1.311,-0.846,51.72,-45.06,-9.54
153,153.0,153.0,3.065,0.778,9.18,0.004,1.342,-0.753,52.38,-45.84,-10.2
154,154.0,154.0,2.818,0.354,9.424,-0.501,1.073,-0.666,53.04,-46.5,-10.68
155,155.0,155.0,2.085,0.275,10.142,-0.683,1.047,-0.692,53.82,-47.52,-10.74
156,156.0,156.0,1.563,0.031,10.602,-0.653,1.153,-0.766,54.72,-47.82,-10.14
157,157.0,157.0,1.252,-0.077,10.844,-0.409,1.09,-0.771,55.38,-47.34,-9.96
158,158.0,158.0,0.582,0.249,11.44,-0.059,0.975,-0.747,55.62,-47.34,-10.02
159,159.0,159.0,0.23,0.208,11.244,0.303,0.863,-0.727,55.74,-47.52,-10.62
160,160.0,160.0,0.235,0.132,11.071,0.733,0.645,-0.581,56.04,-47.64,-11.22
161,161.0,161.0,0.242,0.156,10.762,0.992,0.629,-0.453,56.94,-47.22,-11.1
162,162.0,162.0,0.256,0.328,10.247,1.145,0.758,-0.4,57.36,-46.98,-11.1
163,163.0,163.0,0.045,0.546,10.008,1.138,0.992,-0.439,57.9,-48.54,-10.44
164,164.0,164.0,-0.263,0.848,9.773,1.014,1.188,-0.602,59.28,-49.38,-9.42
165,165.0,165.0,-0.783,1.07,9.345,0.849,1.358,-0.82,59.28,-49.92,-9.36
166,166.0,166.0,-1.868,1.602,10.051,0.773,1.609,-0.967,59.28,-50.1,-9.0
167,167.0,167.0,-2.406,1.413,10.516,0.74,1.766,-0.985,60.48,-49.56,-8.22
168,168.0,168.0,-2.387,1.456,9.103,0.902,1.443,-0.783,61.5,-49.32,-8.34
169,169.0,169.0,-2.121,1.635,7.915,1.163,0.92,-0.523,62.28,-49.74,-8.4
170,170.0,170.0,-2.112,2.042,8.452,1.255,0.469,-0.421,62.94,-50.7,-8.16
