,0,1,2,3,4,5,6,7,8,9,10
104,104.0,104.0,23.234,-46.327,-16.736,-8.026,-0.047,10.525,-12.54,-18.42,27.6
105,105.0,105.0,14.916,-44.385,-12.156,-8.299,0.06,8.971,-22.56,-18.72,16.2
106,106.0,106.0,13.487,-40.645,-4.422,-8.629,1.826,5.601,-30.78,-11.04,4.98
107,107.0,107.0,11.531,-27.549,-1.935,-7.342,0.637,2.832,-33.48,-1.5,-2.7
108,108.0,108.0,7.724,-18.86,7.599,-4.22,-1.747,1.44,-32.04,6.72,-2.28
109,109.0,109.0,5.907,-13.303,2.959,-2.786,-0.376,2.904,-31.38,11.82,3.24
110,110.0,110.0,12.568,-15.975,7.13,-1.123,-1.49,1.955,-27.06,15.48,6.18
111,111.0,111.0,16.262,-20.964,5.124,1.206,-1.862,-0.059,-24.48,17.28,9.18
112,112.0,112.0,19.76,-33.125,-6.134,4.471,-1.581,-3.103,-25.2,16.38,8.58
113,113.0,113.0,22.046,-52.119,-19.487,9.948,1.517,-7.348,-30.9,12.3,5.4
114,114.0,114.0,22.056,-78.343,-51.831,10.336,3.64,-15.476,-33.78,-3.18,0.66
115,115.0,115.0,11.732,-78.343,-59.536,6.601,1.853,-19.769,-20.46,-27.42,3.84
116,116.0,116.0,-6.429,-61.25,-34.403,-0.612,-0.483,-16.379,13.56,-27.24,9.6
117,117.0,117.0,-8.849,-22.166,-14.864,-2.689,0.507,-8.361,33.72,-5.34,6.66
118,118.0,118.0,-6.192,-10.774,-7.942,-2.256,-0.242,-5.19,31.14,11.34,6.84
119,119.0,119.0,-8.042,-5.327,-8.528,-2.763,0.16,-2.39,25.68,18.78,7.44
120,120.0,120.0,-7.257,-4.611,-2.744,-2.039,-0.072,-1.564,21.36,21.48,10.02
121,121.0,121.0,-7.415,-2.595,-4.317,-1.645,0.127,-1.082,18.24,21.66,11.76
122,122.0,122.0,-8.562,-2.069,-2.152,-1.312,0.154,-0.736,16.08,20.94,13.8
123,123.0,123.0,-7.918,-1.343,-2.899,-0.789,0.432,-0.227,14.22,19.74,14.22
124,124.0,124.0,-7.631,-1.329,-2.902,-0.398,0.907,0.278,14.7,18.96,15.6
125,125.0,125.0,-7.451,-1.97,-2.895,0.333,-0.098,0.641,14.04,18.6,17.88
126,126.0,126.0,-6.754,-1.812,-5.859,0.297,1.245,2.374,15.12,17.7,18.72
127,127.0,127.0,-6.053,-2.643,-4.432,1.231,0.84,4.263,17.22,15.0,19.8
128,128.0,128.0,-4.348,-4.784,-6.187,1.483,1.38,6.631,19.5,9.84,21.48
129,129.0,129.0,-0.651,-11.294,-9.036,2.141,0.784,10.008,19.5,2.04,25.56
130,130.0,130.0,10.365,-23.811,-18.874,2.019,0.137,12.377,14.82,-7.32,30.66
131,131.0,131.0,12.52,-33.233,-20.359,-0.819,-1.119,13.8,6.72,-11.94,32.88
132,132.0,132.0,19.537,-52.976,-24.867,-4.61,0.727,14.671,-3.9,-15.3,31.02
133,133.0,133.0,14.71,-51.712,-13.707,-8.048,3.262,11.102,-18.66,-15.96,20.58
134,134.0,134.0,14.856,-37.185,-8.569,-7.839,2.933,6.342,-30.06,-7.56,9.84
135,135.0,135.0,8.945,-24.647,0.682,-6.342,2.146,3.007,-32.7,2.1,0.96
136,136.0,136.0,7.018,-15.347,4.997,-3.946,-0.005,1.477,-31.38,9.66,-0.12
137,137.0,137.0,7.156,-9.412,5.773,-1.675,-0.366,1.438,-29.52,12.3,3.96
138,138.0,138.0,9.8,-9.163,5.392,-0.209,-0.719,1.193,-26.58,14.46,6.96
139,139.0,139.0,10.712,-14.569,2.545,0.457,-0.99,0.561,-26.4,15.72,7.92
140,140.0,140.0,15.079,-25.039,0.268,2.569,-0.618,-0.276,-25.56,15.96,6.24
141,141.0,141.0,21.58,-43.705,-4.022,9.106,0.002,-4.084,-28.2,14.1,3.12
142,142.0,142.0,32.474,-78.341,-41.308,13.099,0.492,-13.769,-33.42,3.42,-0.84
143,143.0,143.0,22.571,-78.343,-68.457,9.668,2.747,-20.009,-25.44,-21.96,2.76
144,144.0,144.0,-1.415,-76.974,-43.873,0.154,0.125,-18.806,9.72,-27.48,14.22
145,145.0,145.0,-4.808,-31.48,-15.666,-2.308,-0.73,-10.785,31.38,-4.2,12.42
146,146.0,146.0,-1.786,-14.564,-8.564,-2.632,0.387,-5.935,28.62,14.1,10.26
147,147.0,147.0,-5.548,-8.148,-5.904,-2.101,-0.831,-3.599,21.54,20.94,11.04
148,148.0,148.0,-6.793,-5.933,-4.475,-2.222,-0.118,-1.997,16.62,24.36,13.86
149,149.0,149.0,-7.231,-3.9,-2.356,-1.342,-0.03,-1.005,12.48,22.38,15.0
150,150.0,150.0,-6.443,-3.345,-4.077,-1.005,0.263,-0.633,11.4,21.96,16.38
151,151.0,151.0,-7.226,-2.449,-3.706,-0.735,0.336,0.067,10.02,21.06,17.82
152,152.0,152.0,-6.465,-2.289,-4.034,-0.347,1.039,1.151,10.08,19.68,19.2
153,153.0,153.0,-4.985,-1.53,-4.954,0.022,2.121,2.4,10.68,18.06,19.8
154,154.0,154.0,-3.563,-0.838,-3.857,0.698,3.224,4.034,10.32,15.84,24.12
155,155.0,155.0,-1.853,-2.773,-4.451,1.363,4.825,6.269,9.18,12.6,27.0
156,156.0,156.0,0.579,-8.37,-5.696,0.653,3.895,9.168,4.74,11.04,31.86
157,157.0,157.0,8.208,-18.723,-9.398,0.127,2.551,11.01,-0.72,10.44,34.38
158,158.0,158.0,13.848,-26.627,-12.771,-2.422,2.835,10.952,-0.42,11.34,36.66
159,159.0,159.0,16.243,-32.119,-8.153,-3.165,0.076,10.64,0.48,5.1,37.26
160,160.0,160.0,19.999,-27.596,-9.165,-3.76,1.392,7.842,1.56,-3.9,34.38
161,161.0,161.0,14.112,-21.304,-5.284,-4.356,1.917,6.554,-5.76,-12.96,28.98
162,162.0,162.0,10.116,-12.093,1.717,-2.405,1.83,4.671,-15.24,-15.84,22.38
163,163.0,163.0,8.648,-7.731,-3.788,-2.817,1.151,3.84,-21.54,-14.4,17.28
164,164.0,164.0,7.963,-6.156,-0.929,-3.506,0.732,3.506,-25.98,-12.42,12.6
165,165.0,165.0,10.92,-4.413,2.363,-2.05,0.593,3.388,-30.96,-9.0,9.96
166,166.0,166.0,10.171,-2.43,1.793,-1.198,2.072,3.398,-32.4,-2.34,7.02
167,167.0,167.0,15.405,-9.759,-1.403,-1.77,0.772,3.215,-32.52,2.82,4.44
168,168.0,168.0,14.686,-18.252,-0.558,-0.564,1.76,3.319,-31.38,8.46,2.7
169,169.0,169.0,25.942,-35.493,3.833,2.888,0.291,-0.249,-30.12,13.14,-0.12
170,170.0,170.0,29.308,-64.377,-21.228,12.102,0.697,-8.574,-32.34,9.06,-3.0
171,171.0,171.0,23.351,-78.343,-52.758,11.855,1.94,-17.108,-31.92,-11.16,-5.28
172,172.0,172.0,4.942,-78.343,-51.702,5.387,0.752,-19.657,-8.64,-32.88,5.04
173,173.0,173.0,-7.506,-44.596,-29.469,-1.827,0.207,-13.781,25.92,-19.14,8.64
174,174.0,174.0,-9.431,-15.759,-10.549,-2.815,-0.555,-6.807,33.84,5.88,6.24
175,175.0,175.0,-7.204,-9.74,-7.93,-3.034,0.621,-3.841,27.96,18.12,6.72
176,176.0,176.0,-7.609,-5.825,-3.941,-2.298,-0.017,-2.034,21.6,21.96,9.54
177,177.0,177.0,-6.745,-4.765,-2.275,-1.565,0.452,-1.594,16.98,23.1,12.36
178,178.0,178.0,-7.722,-3.136,-3.237,-0.868,0.461,-0.934,14.28,22.08,14.34
179,179.0,179.0,-7.645,-2.265,-3.632,-0.833,0.971,0.021,12.18,21.78,16.68
180,180.0,180.0,-6.632,-2.097,-4.25,-0.735,1.243,1.055,11.4,20.52,18.6
181,181.0,181.0,-6.647,-0.781,-2.619,-0.26,2.208,2.971,11.64,17.64,21.18
182,182.0,182.0,-4.786,-2.397,-2.665,1.064,3.645,5.626,12.18,13.86,23.76
183,183.0,183.0,-2.093,-8.222,-1.468,1.774,5.04,8.663,10.2,10.02,27.6
184,184.0,184.0,5.737,-17.129,-4.228,1.776,2.097,9.441,3.66,5.88,32.82
